Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,MyUnknownColumn,MyUnknownColumn_[0]
"3/10/2004","18:00:00",2.6000000000000001,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.899999999999999,0.75780000000000003,"",""
"3/10/2004","19:00:00",2,1292,112,9.4000000000000004,955,103,1174,92,1559,972,13.300000000000001,47.700000000000003,0.72550000000000003,"",""
"3/10/2004","20:00:00",2.2000000000000002,1402,88,9,939,131,1140,114,1555,1074,11.9,54,0.75019999999999998,"",""
"3/10/2004","21:00:00",2.2000000000000002,1376,80,9.1999999999999993,948,172,1092,122,1584,1203,11,60,0.78669999999999995,"",""
"3/10/2004","22:00:00",1.6000000000000001,1272,51,6.5,836,131,1205,116,1490,1110,11.199999999999999,59.600000000000001,0.78879999999999995,"",""
"3/10/2004","23:00:00",1.2,1197,38,4.7000000000000002,750,89,1337,96,1393,949,11.199999999999999,59.200000000000003,0.78480000000000005,"",""
"3/11/2004","0:00:00",1.2,1185,31,3.6000000000000001,690,62,1462,77,1333,733,11.300000000000001,56.799999999999997,0.76029999999999998,"",""
"3/11/2004","1:00:00",1,1136,31,3.2999999999999998,672,62,1453,76,1333,730,10.699999999999999,60,0.7702,"",""
"3/11/2004","2:00:00",0.90000000000000002,1094,24,2.2999999999999998,609,45,1579,60,1276,620,10.699999999999999,59.700000000000003,0.76480000000000004,"",""
"3/11/2004","3:00:00",0.59999999999999998,1010,19,1.7,561,-200,1705,-200,1235,501,10.300000000000001,60.200000000000003,0.75170000000000003,"",""
"3/11/2004","4:00:00",-200,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.74650000000000005,"",""
"3/11/2004","5:00:00",0.69999999999999996,1066,8,1.1000000000000001,512,16,1918,28,1182,422,11,56.200000000000003,0.73660000000000003,"",""
"3/11/2004","6:00:00",0.69999999999999996,1052,16,1.6000000000000001,553,34,1738,48,1221,472,10.5,58.100000000000001,0.73529999999999995,"",""
"3/11/2004","7:00:00",1.1000000000000001,1144,29,3.2000000000000002,667,98,1490,82,1339,730,10.199999999999999,59.600000000000001,0.74170000000000003,"",""
"3/11/2004","8:00:00",2,1333,64,8,900,174,1136,112,1517,1102,10.800000000000001,57.399999999999999,0.74080000000000001,"",""
"3/11/2004","9:00:00",2.2000000000000002,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.600000000000001,0.76910000000000001,"",""
"3/11/2004","10:00:00",1.7,1233,77,6.2999999999999998,827,112,1218,98,1446,860,10.800000000000001,58.399999999999999,0.75519999999999998,"",""
"3/11/2004","11:00:00",1.5,1179,43,5,762,95,1328,92,1362,671,10.5,57.899999999999999,0.73519999999999996,"",""
"3/11/2004","12:00:00",1.6000000000000001,1236,61,5.2000000000000002,774,104,1301,95,1401,664,9.5,66.799999999999997,0.79510000000000003,"",""
